Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
Tertimpa Benda-Benda Jatuh,kerja,0.7779100295064406,0.12384259259259259,0.000244775858212072,2.358131328010561e-05
Tertimpa Benda-Benda Jatuh,bangun,0.7228230663794251,0.12384259259259259,9.608515074048363e-05,8.601185500253385e-06
Tertimpa Benda-Benda Jatuh,roboh,0.5800705849120977,0.12384259259259259,8.490989493524657e-05,6.099709917743885e-06
Tertimpa Benda-Benda Jatuh,longsor,0.5790629662156066,0.12384259259259259,6.83620656401447e-05,4.902425502504949e-06
Tertimpa Benda-Benda Jatuh,korban,0.5628498236426135,0.12384259259259259,0.00027872394392735136,1.942839158245338e-05
Tertimpa Benda-Benda Jatuh,laku,0.5463513847545202,0.12384259259259259,0.0001547981629949294,1.0473887043914014e-05
Tertimpa Benda-Benda Jatuh,tembok,0.5378942951691903,0.12384259259259259,7.79942014977339e-05,5.195523213523253e-06
Tertimpa Benda-Benda Jatuh,orang,0.5259929531872912,0.12384259259259259,0.00032375524471543423,2.1089523806387453e-05
Tertimpa Benda-Benda Jatuh,proyek,0.5227876288495187,0.12384259259259259,0.0001596339287424584,1.0335239364304057e-05
Kontak dengan Arus Listrik,listrik,0.999,0.1226851851851852,0.00027323063688603985,3.348782993334526e-05
Kontak dengan Arus Listrik,korban,0.8875528069504374,0.1226851851851852,0.00016840799841324095,1.8337876297089285e-05
Kontak dengan Arus Listrik,setrum,0.8544357319550409,0.1226851851851852,6.243429087715539e-05,6.5447748109026825e-06
Kontak dengan Arus Listrik,sengat,0.5851298408165596,0.1226851851851852,6.243429087715539e-05,4.481955634651783e-06
Kontak dengan Arus Listrik,kabel,0.47199325470277215,0.1226851851851852,0.00011907683087546343,6.895332016490467e-06
Kontak dengan Arus Listrik,tewas,0.41657733526167273,0.1226851851851852,0.00013084089041816388,6.686998893759612e-06
Kontak dengan Arus Listrik,rumah,0.3851778045813286,0.1226851851851852,0.0001423718135179649,6.727866935071618e-06
Kontak dengan Arus Listrik,tiang,0.3831719137588618,0.1226851851851852,6.65218522993219e-05,3.1271601596590796e-06
Kontak dengan Arus Listrik,warga,0.3467374950944885,0.1226851851851852,0.0001862278243257061,7.922048551273993e-06
Kontak dengan Arus Listrik,tikus,0.34069461158456116,0.1226851851851852,6.243429087715539e-05,2.60963982277164e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",tabrak,0.999,0.1226851851851852,6.23775747904888e-05,7.645151510259283e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",mobil,0.6095761319990214,0.1226851851851852,8.666344957920391e-05,6.4812093290502716e-06
"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",truk,0.5852062937222916,0.1226851851851852,8.629968297393765e-05,6.195984337956253e-06
